IncLevel1	IncLevel2	IncLevelDifference
0.116,0.171,0.18,0.155	0.234,0.2,0.158,0.156	-0.032
1.0,1.0,1.0,0.816	0.928,0.979,0.974,0.92	0.004
1.0,1.0,NA,NA	1.0,1.0,0.5,NA	0.167
0.0,1.0,0.5,1.0	0.5,NA,0.667,0.333	0.125
0.008,0.011,0.011,0.01	0.014,0.012,0.012,0.013	-0.003
0.015,0.027,0.031,0.019	0.031,0.029,0.027,0.029	-0.006
0.025,0.021,0.03,0.018	0.024,0.029,0.03,0.029	-0.005
0.015,0.014,0.017,0.01	0.021,0.017,0.017,0.015	-0.004
0.783,0.577,0.711,0.588	0.917,0.473,0.765,0.774	-0.068
0.087,0.104,0.088,0.087	0.098,0.093,0.086,0.089	0.0
0.094,0.058,0.148,0.036	0.11,0.097,0.173,0.134	-0.045
0.036,0.033,0.047,0.024	0.021,0.022,0.053,0.038	0.002
0.063,0.044,0.135,0.038	0.096,0.13,0.078,0.079	-0.026
0.067,0.048,0.032,0.016	0.106,0.054,0.032,0.075	-0.026
0.189,0.147,0.218,0.089	0.227,0.309,0.194,0.256	-0.086
0.138,0.242,0.273,0.082	0.205,0.236,0.183,0.296	-0.046
0.02,0.038,0.095,0.085	0.105,0.1,0.035,0.075	-0.019
0.078,0.0,0.062,0.035	0.008,0.065,0.028,0.024	0.013
0.429,0.333,0.778,0.4	0.714,0.8,0.4,0.778	-0.188
0.068,0.063,0.076,0.069	0.053,0.042,0.064,0.058	0.015
0.019,0.019,0.021,0.021	0.027,0.024,0.017,0.03	-0.005
0.111,0.062,0.308,0.048	0.077,0.263,0.056,0.164	-0.008
0.0,0.0,NA,0.0	0.0,1.0,NA,1.0	-0.667
0.0,0.0,0.0,0.0	1.0,NA,NA,0.0	-0.5
0.089,0.057,0.17,0.053	0.133,0.143,0.095,0.132	-0.034
0.279,0.392,0.3,0.744	0.566,0.475,0.35,0.272	0.013
0.013,0.021,0.035,0.026	0.027,0.053,0.041,0.028	-0.013
1.0,0.919,1.0,1.0	0.807,1.0,0.374,1.0	0.184
0.073,0.078,0.091,0.054	0.094,0.124,0.089,0.114	-0.031
0.094,0.097,0.118,0.062	0.106,0.131,0.114,0.115	-0.024
0.454,0.571,0.264,0.368	1.0,0.143,0.423,0.499	-0.102
0.667,0.118,0.889,0.8	0.842,0.455,0.7,0.616	-0.035
0.037,0.012,0.067,0.031	0.055,0.056,0.058,0.107	-0.032
0.033,0.055,0.056,0.035	0.039,0.043,0.039,0.038	0.005
0.006,0.03,0.032,0.013	0.055,0.019,0.033,0.022	-0.012
1.0,0.77,1.0,0.857	1.0,1.0,1.0,0.941	-0.079
1.0,1.0,0.751,0.817	1.0,0.938,0.953,0.848	-0.043
0.031,0.028,0.035,0.027	0.028,0.04,0.022,0.033	-0.001
1.0,0.915,1.0,0.959	0.95,0.948,0.903,0.973	0.025
0.086,0.077,0.111,0.039	0.083,0.106,0.066,0.082	-0.006
0.15,0.184,0.212,0.118	0.255,0.269,0.246,0.225	-0.083
0.155,0.071,0.138,0.071	0.144,0.173,0.135,0.172	-0.047
0.529,0.659,0.68,1.0	0.895,0.562,0.698,0.846	-0.033
0.042,0.102,0.112,0.089	0.184,0.135,0.124,0.065	-0.041
0.267,0.312,0.18,0.141	0.188,0.267,0.246,0.147	0.013
0.003,0.003,0.004,0.004	0.046,0.004,0.003,0.007	-0.012
0.128,0.129,0.171,0.139	0.19,0.138,0.141,0.194	-0.024
0.04,0.088,0.094,0.057	0.085,0.114,0.071,0.078	-0.017
0.893,0.671,0.802,0.879	0.759,0.846,0.768,0.785	0.022
0.002,0.002,0.003,0.002	0.002,0.003,0.003,0.003	-0.0
0.114,0.131,0.168,0.122	0.166,0.311,0.176,0.205	-0.081
0.155,0.161,0.196,0.143	0.27,0.226,0.161,0.203	-0.051
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.96	0.01
0.141,0.157,0.255,0.149	0.163,0.159,0.2,0.186	-0.002
0.055,0.03,0.039,0.036	0.032,0.028,0.038,0.021	0.01
0.852,0.789,0.922,0.923	0.913,0.934,0.914,0.842	-0.029
0.477,0.459,0.531,0.475	0.61,0.514,0.505,0.552	-0.06
1.0,0.844,1.0,1.0	0.944,0.951,0.92,0.603	0.106
0.305,0.285,0.384,0.446	0.355,0.35,0.332,0.299	0.021
0.077,0.147,0.176,0.122	0.221,0.191,0.171,0.178	-0.06
0.075,0.102,0.072,0.059	0.092,0.164,0.086,0.112	-0.036
0.091,0.044,0.087,0.076	0.075,0.084,0.094,0.127	-0.021
