IncLevel1	IncLevel2	IncLevelDifference
0.763,0.709,0.772,0.723	0.769,0.868,0.704,0.744	-0.03
0.151,0.111,0.15,0.153	0.161,0.184,0.164,0.094	-0.009
0.926,1.0,0.938,1.0	1.0,1.0,1.0,1.0	-0.034
0.437,0.406,0.427,0.404	0.397,0.398,0.346,0.374	0.04
0.069,0.035,0.056,0.108	0.083,0.155,0.065,0.087	-0.03
0.003,0.005,0.003,0.002	0.005,0.005,0.002,0.002	-0.0
0.329,0.268,0.353,0.516	0.338,0.489,0.299,0.311	0.007
0.885,0.822,0.857,0.862	0.75,0.703,0.725,0.834	0.104
0.978,1.0,1.0,1.0	1.0,1.0,1.0,0.974	0.001
1.0,1.0,1.0,1.0	0.978,1.0,1.0,1.0	0.006
0.852,0.893,0.893,0.907	0.877,0.897,0.935,0.889	-0.013
1.0,0.989,1.0,1.0	1.0,0.988,0.988,1.0	0.003
1.0,0.974,1.0,0.99	0.985,1.0,0.976,0.997	0.002
1.0,1.0,1.0,1.0	1.0,0.939,1.0,1.0	0.015
0.05,0.079,0.066,0.069	0.095,0.088,0.082,0.045	-0.011
0.103,0.101,0.073,0.101	0.115,0.091,0.078,0.068	0.006
0.934,0.948,0.991,1.0	0.982,0.967,0.978,0.981	-0.009
0.994,0.99,0.982,0.981	0.986,0.985,0.976,0.983	0.004
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.979	0.005
1.0,0.988,0.982,0.991	0.988,1.0,1.0,0.989	-0.004
0.995,0.996,0.993,0.994	0.996,0.989,0.999,0.996	-0.001
0.075,0.065,0.08,0.067	0.039,0.087,0.083,0.104	-0.006
0.993,0.984,1.0,1.0	0.992,0.99,0.997,0.995	0.001
0.0,0.17,0.241,0.096	0.048,0.046,0.137,0.137	0.035
0.133,0.081,0.133,0.143	0.121,0.277,0.049,0.111	-0.017
0.13,0.111,0.097,0.094	0.071,0.138,0.117,0.114	-0.002
0.06,0.033,0.046,0.02	0.042,0.018,0.054,0.054	-0.002
1.0,1.0,1.0,1.0	1.0,1.0,0.992,1.0	0.002
0.996,1.0,0.988,0.991	0.996,0.996,0.994,0.996	-0.002
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.9	0.025
0.993,0.994,1.0,1.0	1.0,1.0,0.963,0.984	0.01
1.0,1.0,0.966,1.0	1.0,0.971,1.0,1.0	-0.001
0.0,0.016,0.046,0.0	0.055,0.058,0.023,0.085	-0.04
1.0,0.917,0.943,1.0	0.812,0.974,0.932,0.968	0.043
0.881,0.951,0.952,0.934	0.931,0.923,0.95,0.914	-0.0
0.285,0.807,1.0,0.23	0.749,0.545,0.677,1.0	-0.162
0.968,0.93,1.0,0.934	0.965,1.0,1.0,1.0	-0.033
0.971,0.982,0.973,0.974	0.971,0.977,0.963,0.972	0.004
0.019,0.018,0.025,0.015	0.026,0.014,0.014,0.01	0.003
1.0,1.0,1.0,1.0	0.994,1.0,1.0,1.0	0.002
0.922,0.687,0.887,0.939	0.863,0.826,0.785,0.883	0.019
0.02,0.04,0.137,0.067	0.08,0.08,0.051,0.049	0.001
0.056,0.0,0.034,0.022	0.013,0.008,0.0,0.01	0.02
1.0,0.484,NA,1.0	1.0,1.0,1.0,1.0	-0.172
1.0,1.0,1.0,1.0	0.995,1.0,0.996,1.0	0.002
0.762,0.664,0.73,0.703	0.73,0.709,0.727,0.701	-0.002
0.01,0.009,0.017,0.01	0.014,0.013,0.031,0.014	-0.006
0.004,0.024,0.021,0.043	0.01,0.025,0.011,0.02	0.006
0.707,0.777,0.813,0.87	0.873,0.813,0.911,0.842	-0.068
1.0,1.0,0.733,0.5	1.0,1.0,1.0,0.667	-0.108
1.0,1.0,1.0,1.0	0.918,1.0,0.783,0.918	0.095
0.037,0.061,0.079,0.056	0.106,0.196,0.071,0.094	-0.058
1.0,1.0,1.0,1.0	0.959,1.0,1.0,1.0	0.01
1.0,0.976,1.0,1.0	0.978,0.952,1.0,0.982	0.016
0.904,0.913,0.968,0.98	0.951,0.934,0.912,0.917	0.013
0.017,0.043,0.067,0.04	0.06,0.038,0.056,0.03	-0.004
0.2,0.138,0.174,0.137	0.23,0.168,0.135,0.105	0.003
0.431,0.277,0.422,0.0	0.52,0.378,0.607,0.329	-0.176
0.283,0.0,0.33,0.0	0.185,0.264,0.071,0.33	-0.059
0.0,0.0,0.006,0.008	0.023,0.0,0.013,0.0	-0.005
0.309,0.17,0.114,0.247	0.049,0.0,0.114,0.183	0.123
0.875,1.0,0.724,1.0	0.86,0.902,0.925,0.925	-0.003
0.719,0.827,0.631,0.648	0.678,0.688,0.526,0.633	0.075
0.787,0.854,0.781,0.793	0.852,0.748,0.797,0.831	-0.003
NA,1.0,0.0,1.0	0.0,0.0,0.0,NA	0.667
0.0,0.165,0.229,0.64	0.0,NA,0.372,0.0	0.135
1.0,1.0,1.0,1.0	1.0,0.999,1.0,1.0	0.0
0.974,0.973,0.929,0.976	0.962,0.935,0.963,0.966	0.007
1.0,1.0,1.0,1.0	1.0,0.826,1.0,1.0	0.043
0.88,0.855,0.977,0.735	0.753,0.69,0.77,0.824	0.102
0.537,0.561,0.492,0.551	0.548,0.6,0.58,0.556	-0.036
0.998,0.997,0.998,0.996	0.998,0.998,0.994,0.996	0.001
0.622,0.464,0.729,0.412	0.654,0.688,0.528,0.556	-0.05
0.569,0.575,0.771,0.863	0.743,0.8,0.771,0.697	-0.058
1.0,1.0,0.968,0.991	0.981,0.98,0.992,0.971	0.009
0.922,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.019
0.993,1.0,0.991,1.0	0.992,0.993,1.0,0.995	0.001
0.008,0.006,0.013,0.01	0.017,0.01,0.0,0.0	0.002
0.986,0.995,1.0,1.0	1.0,1.0,1.0,0.986	-0.001
0.825,0.822,0.843,0.846	0.937,0.945,0.907,0.875	-0.082
0.877,0.944,0.949,0.916	0.918,0.926,0.91,0.938	-0.002
0.68,0.636,0.632,0.652	0.529,0.551,0.689,0.636	0.049
0.395,0.348,0.424,0.366	0.525,0.333,0.387,0.333	-0.011
0.042,0.06,0.011,0.036	0.05,0.078,0.085,0.026	-0.023
