ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
184	16,16,29,18	0,0,0,0	15,29,16,23	0,0,4,0	172	149	0.473474697484378	0.767068003439601
185	150,142,252,234	4,0,4,3	181,195,175,190	1,9,4,7	172	149	0.17539202010879	0.558516177089363
186	18,28,34,29	32,35,66,47	16,29,35,31	60,50,57,53	155	149	0.318288110761186	0.672561360740225
188	35,36,49,66	2,0,3,2	52,40,46,49	3,1,2,1	179	149	0.999202115572178	0.999202115572178
189	8,13,11,10	0,0,6,0	16,13,12,13	3,2,1,1	179	149	0.244194309218444	0.644189329072502
190	34,45,70,47	15,6,4,11	48,72,48,73	2,9,13,5	660	149	0.260473464095964	0.655701278751322
191	6,9,8,16	167,194,302,277	7,13,7,9	212,292,286,185	165	149	0.637036308318252	0.876295293884293
192	7,4,2,3	0,0,1,0	0,0,2,3	1,0,0,0	153	149	0.999202115572178	0.999202115572178
193	10,8,18,14	0,0,5,0	9,11,9,13	0,0,0,0	153	149	0.450845797415662	0.754950456001324
195	0,0,2,0	61,79,133,114	0,0,3,1	108,135,114,103	176	149	0.682150458072792	0.911846318531201
197	0,12,6,9	0,0,0,0	6,13,26,6	0,1,0,1	282	149	0.0120095867945548	0.218574479660897
198	3,3,10,3	8,9,19,16	6,6,9,7	23,11,21,10	512	149	0.554304391433852	0.821343017965396
199	609,679,965,846	9,4,3,1	783,829,755,788	6,2,13,3	502	149	0.608402435993101	0.858062797419945
200	265,206,426,331	152,131,193,207	271,254,288,281	151,187,135,162	218	149	0.780015051084666	0.970813051481493
201	110,123,144,152	12,17,13,6	138,166,156,129	8,20,9,7	217	149	0.281003769458605	0.664456043201308
202	102,119,134,147	0,0,1,0	132,155,143,124	2,8,3,3	217	149	0.00130700456544375	0.118937415455381
205	15,15,19,13	44,51,73,66	30,25,35,33	66,67,63,64	314	149	0.00246097678190438	0.157369488269885
206	553,596,936,611	0,3,0,1	790,818,732,746	2,3,3,1	478	149	0.177795366650574	0.564357737242662
207	4,7,15,6	155,138,208,194	12,19,10,13	130,161,159,148	177	149	0.00687979898947133	0.194821401005419
209	1,1,0,1	112,122,194,136	1,0,1,4	141,202,151,140	177	149	0.744068593950349	0.956301852656621
210	5,13,16,5	114,116,123,163	5,6,6,8	141,200,167,111	220	149	0.0616710049969069	0.407579882186262
212	0,2,0,0	10,7,16,8	0,0,0,0	9,19,23,16	385	149	0.329210766639232	0.674359928859211
213	10,2,8,15	140,141,216,222	8,13,13,19	129,167,149,139	182	149	0.0146572528131331	0.239727078909409
214	82,93,137,99	0,0,0,0	97,108,108,86	2,1,0,0	546	149	0.00872868957716211	0.195330684048591
215	113,114,163,199	138,134,160,211	121,156,132,131	172,198,173,170	245	149	0.0115377532938463	0.213268158540941
218	122,122,177,118	0,0,0,0	195,223,215,196	1,0,0,0	433	149	0.14462300858333	0.53298759861084
219	155,161,330,120	6,3,6,6	305,334,321,281	3,5,7,6	655	149	0.0824995625155041	0.459279917439253
220	107,124,154,157	144,191,317,300	109,158,169,131	143,292,234,235	155	149	0.452908146579821	0.754950456001324
221	6,6,5,4	7,8,10,5	7,4,12,7	6,7,7,2	438	149	0.0761103865213175	0.444634998788734
222	17,18,27,20	0,0,0,1	29,37,32,16	0,0,0,0	266	149	0.260364225489151	0.655701278751322
223	123,200,311,225	0,3,0,0	288,276,265,223	0,1,1,1	196	149	0.5051563649037	0.7857987898502
224	23,36,60,23	66,68,111,111	55,62,53,39	120,99,121,80	153	149	0.235461520982654	0.638803649864166
225	76,105,142,85	2,0,6,7	134,152,142,96	4,7,2,7	205	149	0.684062255238936	0.912773530376992
226	119,137,193,173	2,0,6,7	199,189,210,137	4,7,2,7	201	149	0.753084490332492	0.963134002230635
228	0,1,1,5	1,0,0,0	0,5,1,2	1,0,0,0	181	149	0.967477182413007	0.999202115572178
230	1,2,0,1	0,0,1,0	0,3,0,0	0,0,0,0	168	149	0.97758255209556	0.999202115572178
231	0,6,1,0	0,0,2,0	0,5,0,0	0,0,0,0	168	149	0.981280990223783	0.999202115572178
232	144,175,240,168	3,2,6,5	185,233,198,188	5,14,5,3	184	149	0.310784214110572	0.672561360740225
233	71,64,93,77	1,0,0,1	85,82,83,63	0,0,1,1	229	149	0.999202115572178	0.999202115572178
236	84,93,140,110	0,0,0,0	126,124,113,107	0,1,0,1	164	149	0.00830171946840463	0.194821401005419
240	4,8,9,7	26,21,60,46	5,16,11,12	31,53,33,48	191	149	0.150793089045529	0.538937233658191
242	6,2,6,4	24,22,27,31	13,4,10,13	14,17,20,24	153	149	0.00707956781075103	0.194821401005419
244	531,639,734,850	10,9,9,13	560,716,691,635	2,8,5,9	498	149	0.0501977672063619	0.38521838868555
245	1,2,5,2	70,103,130,103	7,6,8,6	126,127,145,136	355	149	0.0102736121803901	0.199240708350845
246	6,12,8,10	141,184,226,253	14,22,16,10	244,274,204,194	153	149	0.0430108741720765	0.367579824102244
247	180,178,176,175	2,2,1,3	164,261,209,181	0,0,0,1	152	149	0.00985973670166873	0.199240708350845
248	0,0,0,0	0,1,0,4	1,0,0,0	0,1,0,0	153	149	0.999202115572178	0.999202115572178
251	33,60,84,63	1,0,0,0	96,99,86,77	0,0,0,0	246	149	0.309784563245096	0.672431446456786
252	4,20,13,9	5,12,21,19	21,18,12,29	32,34,28,35	155	149	0.336778608352474	0.675303672990774
253	30,27,64,50	5,12,21,19	50,52,52,37	32,34,28,35	166	149	0.00202438084964385	0.145141972432041
254	30,23,62,50	4,16,11,9	46,50,50,37	17,16,10,29	160	149	0.275096561662016	0.664456043201308
255	176,236,380,198	0,0,2,0	371,409,363,373	0,0,0,0	1210	149	0.173667380018503	0.555266244761863
256	30,51,64,65	1,0,0,0	47,46,49,57	0,0,0,0	232	149	0.363733570070678	0.688983774418693
257	108,120,157,155	4,1,9,6	125,126,144,125	7,3,7,7	232	149	0.521365221909125	0.798157380029506
