ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
31514	30,37,55,35	1,0,0,1	35,42,31,30	0,0,5,0	298	149
31515	79,56,97,119	0,0,4,2	87,98,81,80	4,0,0,1	233	149
31516	2042,2166,3102,2768	1,6,10,8	2210,2897,2690,1984	6,4,7,4	221	149
31517	2278,2401,3387,3132	4,0,0,1	2440,3265,3068,2188	0,1,0,0	281	149
31518	748,807,1104,1080	4,0,0,1	801,1104,1025,694	0,1,0,0	277	149
31519	2,2,3,1	11,23,22,35	4,4,0,0	23,39,28,23	225	149
31520	5,0,0,0	0,0,0,0	0,0,0,0	0,0,2,0	232	149
31521	0,0,1,0	0,1,0,0	0,0,0,1	0,0,0,0	293	149
31522	0,5,3,0	0,0,0,0	5,0,0,3	0,4,0,1	229	149
31524	0,6,1,2	0,0,8,0	0,0,3,1	4,1,0,0	266	149
31525	0,0,0,1	0,0,1,0	1,0,2,0	0,0,0,0	196	149
31526	1,1,0,0	0,0,1,0	0,0,0,3	0,0,0,0	298	149
31527	85,93,200,141	1,0,0,2	156,138,134,123	1,0,0,1	298	149
31528	80,53,118,89	1,0,0,0	94,99,95,70	0,0,0,0	241	149
31529	144,175,268,294	2,4,4,1	251,254,194,205	4,3,7,0	232	149
31530	25,26,39,29	2,6,4,6	21,27,27,22	0,7,6,2	248	149
31531	14,23,24,19	0,0,0,0	15,26,16,19	0,0,0,1	246	149
31532	29,44,72,38	0,0,0,0	41,48,38,33	0,0,0,1	266	149
31533	67,91,122,131	0,0,1,0	93,102,84,89	0,0,0,0	298	149
31534	52,76,97,136	2,10,7,6	88,87,80,81	10,7,8,7	298	149
31535	79,79,108,133	0,0,0,0	97,78,110,99	3,0,0,1	298	149
31537	517,488,697,774	5,16,12,12	522,631,660,487	10,15,9,6	259	149
31538	328,336,485,533	1,0,0,4	408,463,452,343	0,0,0,3	259	149
31539	71,92,92,154	1,0,0,4	89,111,97,74	0,0,0,3	197	149
31540	286,290,367,460	32,65,79,82	288,361,360,271	94,101,65,61	197	149
31541	305,349,422,531	0,0,0,0	348,411,390,331	0,0,2,0	192	149
31542	387,448,634,744	0,0,0,1	545,580,491,472	0,0,0,0	238	149
31543	375,439,695,753	3,0,0,0	503,525,495,494	1,0,0,0	241	149
31544	345,391,655,702	0,0,0,0	499,502,496,471	1,0,1,0	210	149
31545	408,466,654,694	1,0,0,0	520,508,468,477	0,0,0,0	234	149
31546	2,1,2,2	0,1,0,1	4,3,0,5	1,1,0,1	268	149
31547	2,3,4,2	0,1,0,1	6,4,1,6	1,1,0,1	256	149
31549	223,218,357,366	2,0,1,0	235,274,251,275	0,2,0,3	251	149
31550	215,228,356,317	1,1,0,2	230,231,244,261	0,0,1,0	226	149
31551	227,207,371,334	0,5,5,1	278,301,248,237	2,5,6,1	265	149
31552	514,613,894,756	0,0,0,4	738,723,700,644	0,0,2,0	285	149
31553	471,489,769,684	17,32,27,25	677,650,616,605	31,35,26,25	266	149
31554	235,235,329,290	0,0,3,0	310,285,301,252	1,0,0,0	266	149
31555	387,385,598,586	0,0,0,0	438,475,489,436	0,0,0,2	298	149
31556	17,33,28,25	0,0,3,0	32,35,26,26	1,0,0,0	298	149
31557	244,255,460,396	1,0,0,0	369,367,335,357	0,2,0,0	298	149
31558	137,157,219,185	0,0,3,0	171,207,146,164	1,0,0,0	227	149
31559	507,509,786,739	0,1,1,0	575,644,608,572	1,0,0,1	227	149
31560	1283,1415,1888,1656	4,0,0,0	1404,1619,1585,1374	0,0,0,0	298	149
31561	22,15,26,16	0,0,0,0	25,22,15,14	0,2,0,0	258	149
31562	144,171,183,184	0,0,2,0	147,181,193,160	0,0,0,0	253	149
31563	114,133,156,131	0,0,1,0	112,143,179,147	0,0,0,0	235	149
31564	1,2,5,1	0,0,0,0	8,6,1,4	1,0,0,0	298	149
31565	86,118,102,87	0,0,1,0	78,99,132,108	0,0,0,0	298	149
31566	4,3,4,0	1,2,4,1	2,3,0,4	8,6,1,4	298	149
31567	2,2,5,0	86,118,101,87	0,2,0,6	78,99,132,108	298	149
31568	745,932,1137,1201	0,4,0,0	917,1030,943,833	0,0,0,0	194	149
31569	953,1102,1489,1553	0,0,0,0	1099,1289,1242,1178	0,0,1,0	255	149
31570	441,433,624,583	4,5,10,8	475,507,445,510	7,4,12,2	245	149
