refseq_mrna	ensembl_transcript_id
NM_001163159	ENSMUST00000104893
NM_001163350	ENSMUST00000138953
NM_001163567	ENSMUST00000171143
NM_001163613	ENSMUST00000169575
NM_001163775	ENSMUST00000117394
NM_001164311	ENSMUST00000164786
NM_001165956	ENSMUST00000064718
NM_001166066	ENSMUST00000045736
NM_001166138	ENSMUST00000185524
NM_001166453	ENSMUST00000114059
NM_001166459	ENSMUST00000033544
NM_001166552	ENSMUST00000179598
NM_001166640	ENSMUST00000028911
NM_001167879	ENSMUST00000058045
NM_001168273	ENSMUST00000223751
NM_001168572	ENSMUST00000206024
NM_001170454	ENSMUST00000031097
NM_001170643	ENSMUST00000110111
NM_001170691	ENSMUST00000177594
NM_001170802	ENSMUST00000105617
NM_001171615	ENSMUST00000081125
NM_001172095	ENSMUST00000077851
NM_001172117	ENSMUST00000109799
NM_001172206	ENSMUST00000115032
NM_001177556	ENSMUST00000114225
NM_001177810	ENSMUST00000126854
NM_001177833	ENSMUST00000110186
NM_001177849	ENSMUST00000108340
NM_001177983	ENSMUST00000106907
NM_001190373	ENSMUST00000077962
NM_001190795	ENSMUST00000111438
NM_001190978	ENSMUST00000105821
NM_001198872	ENSMUST00000112140
NM_001199105	ENSMUST00000029865
NM_001199136	ENSMUST00000106224
NM_001199695	ENSMUST00000046425
NM_001201367	ENSMUST00000238733
NM_001202500	ENSMUST00000124226
NM_001204167	ENSMUST00000150234
NM_001205330	ENSMUST00000035055
NM_001242380	ENSMUST00000112480
NM_001252478	ENSMUST00000179074
NM_001253805	ENSMUST00000110361
NM_001256431	ENSMUST00000199856
NM_001267583	ENSMUST00000234594
NM_001267724	ENSMUST00000141147
NM_001271533	ENSMUST00000113940
NM_001271568	ENSMUST00000076467
NM_001271587	ENSMUST00000100841
NM_001271753	ENSMUST00000174817
NM_001277256	ENSMUST00000110901
NM_001282093	ENSMUST00000074919
NM_001284519	ENSMUST00000050859
NM_001285511	ENSMUST00000155901
NM_001285905	ENSMUST00000166791
NM_001289494	ENSMUST00000197313
NM_001289682	ENSMUST00000208538
NM_001290181	ENSMUST00000109109
NM_001290624	ENSMUST00000033485
NM_001290664	ENSMUST00000152426
NM_001290692	ENSMUST00000201297
NM_001290819	ENSMUST00000110661
NM_001290826	ENSMUST00000154376
NM_001291067	ENSMUST00000109964
NM_001291067	ENSMUST00000047315
NM_001291077	ENSMUST00000109877
NM_001291108	ENSMUST00000150602
NM_001291809	ENSMUST00000115848
NM_001291871	ENSMUST00000064536
NM_001301269	ENSMUST00000149978
NM_001301710	ENSMUST00000129224
NM_001302511	ENSMUST00000130698
NM_001303015	ENSMUST00000224622
NM_001304572	ENSMUST00000118077
NM_001306078	ENSMUST00000006704
NM_001310651	ENSMUST00000113372
NM_001311139	ENSMUST00000106722
NM_001315499	ENSMUST00000111334
NM_001315500	ENSMUST00000238908
NM_007386	ENSMUST00000102973
NM_007397	ENSMUST00000165044
NM_007400	ENSMUST00000067680
NM_007426	ENSMUST00000033846
NM_007443	ENSMUST00000030041
NM_007664	ENSMUST00000025166
NM_007737	ENSMUST00000086430
NM_007789	ENSMUST00000002412
NM_007869	ENSMUST00000166495
NM_007913	ENSMUST00000064795
NM_007939	ENSMUST00000030420
NM_007952	ENSMUST00000028683
NM_007983	ENSMUST00000102724
NM_008001	ENSMUST00000026296
NM_008018	ENSMUST00000081619
NM_008155	ENSMUST00000038027
NM_008158	ENSMUST00000101122
NM_008222	ENSMUST00000033717
NM_008332	ENSMUST00000102826
NM_008367	ENSMUST00000028111
NM_008446	ENSMUST00000048962
NM_008568	ENSMUST00000000505
NM_008585	ENSMUST00000024707
NM_008608	ENSMUST00000089688
NM_008624	ENSMUST00000035045
NM_008632	ENSMUST00000114015
