IncLevel1	IncLevel2	IncLevelDifference
0.042,0.102,0.112,0.089	0.184,0.135,0.124,0.065	-0.041
0.243,0.31,0.191,0.15	0.197,0.248,0.236,0.164	0.012
0.003,0.003,0.004,0.004	0.046,0.004,0.003,0.007	-0.012
0.128,0.129,0.171,0.139	0.19,0.138,0.141,0.194	-0.024
0.064,0.093,0.103,0.075	0.105,0.11,0.105,0.117	-0.025
0.833,0.645,0.76,0.853	0.701,0.845,0.661,0.765	0.03
0.002,0.002,0.003,0.002	0.002,0.003,0.003,0.003	-0.0
0.177,0.162,0.19,0.136	0.212,0.344,0.231,0.18	-0.075
0.145,0.125,0.18,0.122	0.203,0.18,0.135,0.179	-0.031
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.96	0.01
0.204,0.168,0.25,0.155	0.212,0.191,0.221,0.171	-0.005
0.054,0.029,0.038,0.036	0.031,0.027,0.039,0.02	0.01
0.856,0.789,0.918,0.916	0.913,0.932,0.915,0.848	-0.032
0.482,0.46,0.516,0.451	0.607,0.503,0.504,0.56	-0.066
1.0,0.844,1.0,1.0	0.944,0.951,0.92,0.603	0.106
0.305,0.285,0.384,0.446	0.355,0.354,0.332,0.299	0.02
0.085,0.138,0.176,0.109	0.194,0.177,0.157,0.156	-0.044
0.081,0.098,0.081,0.049	0.082,0.138,0.092,0.112	-0.029
0.064,0.078,0.118,0.045	0.079,0.082,0.082,0.103	-0.01
0.211,1.0,0.572,0.728	0.626,0.455,0.857,0.728	-0.039
0.06,0.069,0.089,0.043	0.095,0.094,0.083,0.092	-0.026
0.039,0.058,0.064,0.032	0.067,0.071,0.096,0.066	-0.027
0.617,0.739,0.83,0.618	0.811,0.795,0.907,0.719	-0.107
0.015,0.019,0.024,0.012	0.032,0.035,0.039,0.031	-0.017
0.063,0.039,0.06,0.029	0.094,0.048,0.046,0.053	-0.012
0.0,0.012,0.018,0.052	0.0,0.014,0.015,0.028	0.006
0.361,0.333,0.224,0.198	0.389,0.283,0.36,0.298	-0.054
0.839,0.826,0.812,0.741	1.0,0.861,0.896,1.0	-0.135
0.168,0.155,0.237,0.104	0.166,0.204,0.225,0.153	-0.021
0.461,0.281,0.367,0.379	0.331,0.415,0.343,0.36	0.01
0.037,0.025,0.038,0.013	0.037,0.04,0.04,0.033	-0.009
0.014,0.007,0.005,0.009	0.008,0.014,0.011,0.016	-0.003
0.081,0.151,0.228,0.151	0.081,0.275,0.336,0.081	-0.041
0.013,0.013,0.015,0.002	0.011,0.013,0.029,0.011	-0.005
0.128,0.118,0.175,0.07	0.192,0.196,0.212,0.181	-0.072
1.0,1.0,1.0,0.937	1.0,1.0,1.0,0.951	-0.003
0.178,0.098,0.052,0.014	0.0,0.178,0.153,0.225	-0.053
0.019,0.012,0.014,0.008	0.013,0.025,0.023,0.008	-0.004
0.193,0.0,0.0,0.0	0.443,0.0,0.117,0.284	-0.163
0.246,0.401,0.273,0.218	0.307,0.304,0.255,0.344	-0.018
0.143,0.164,0.147,0.111	0.132,0.224,0.216,0.232	-0.06
0.158,0.2,0.128,0.116	0.278,0.374,0.146,0.136	-0.083
0.807,0.84,0.869,0.865	0.922,0.865,0.89,0.725	-0.005
0.011,0.015,0.007,0.009	0.013,0.016,0.014,0.009	-0.002
0.098,0.112,0.02,0.038	0.031,0.144,0.072,0.038	-0.004
0.707,0.805,0.753,0.555	0.786,0.738,0.585,0.811	-0.025
0.622,0.664,0.527,0.444	0.482,0.439,0.479,0.631	0.057
0.006,0.008,0.009,0.005	0.009,0.008,0.011,0.009	-0.002
1.0,0.558,0.0,0.387	1.0,1.0,NA,NA	-0.514
0.953,0.98,0.972,0.973	0.977,0.963,0.947,0.979	0.003
0.005,0.005,0.007,0.005	0.015,0.011,0.004,0.008	-0.004
0.056,0.052,0.083,0.043	0.061,0.106,0.102,0.09	-0.031
0.003,0.003,0.007,0.002	0.013,0.007,0.0,0.013	-0.005
0.506,0.423,0.322,0.31	0.478,0.51,0.35,0.562	-0.085
0.017,0.03,0.03,0.008	0.032,0.04,0.03,0.025	-0.011
0.067,0.082,0.043,0.032	0.057,0.044,0.128,0.098	-0.026
0.084,0.097,0.123,0.1	0.127,0.138,0.137,0.06	-0.014
