IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
169,215,304,211	0,16,11,11	260,217,190,204	6,8,11,19	236	149
139,161,247,164	1,5,1,2	194,165,149,158	5,7,10,5	179	149
0,1,6,1	260,277,448,406	2,3,2,1	446,459,413,400	188	149
5,11,17,31	2,3,0,7	30,34,14,25	1,1,1,3	152	149
93,92,138,144	8,7,15,12	120,141,104,139	13,10,17,6	152	149
7,6,11,4	109,131,172,181	4,11,3,5	134,183,157,153	255	149
1,3,0,0	101,86,149,115	1,0,0,3	97,122,99,118	152	149
4,1,2,0	70,79,127,69	0,3,2,2	61,101,68,97	169	149
46,46,62,49	23,22,41,27	54,55,44,50	21,33,37,27	164	149
7,10,14,18	112,126,146,161	14,12,10,9	123,153,129,138	157	149
71,90,137,93	56,55,65,64	123,94,127,94	59,63,68,57	213	149
176,206,269,236	56,55,65,64	232,235,246,223	59,63,68,57	205	149
0,2,4,6	122,90,140,126	10,9,2,3	118,135,140,110	178	149
400,444,707,519	0,0,0,0	572,661,588,585	0,0,3,0	298	149
68,70,95,77	3,7,9,8	95,99,128,96	9,7,5,11	153	149
45,57,105,58	0,0,0,0	74,69,84,69	0,0,1,0	298	149
132,156,213,144	0,0,0,0	219,239,181,173	1,0,0,0	298	149
395,523,674,740	33,33,48,52	768,853,678,684	54,66,67,57	226	149
397,532,677,750	10,14,14,17	769,856,686,687	10,21,21,16	231	149
35,42,51,62	10,14,14,17	55,69,75,60	10,21,21,16	154	149
307,314,500,424	38,35,38,41	450,510,467,409	46,49,40,28	152	149
2,2,1,1	5,9,9,11	3,5,3,1	15,10,9,9	298	149
0,3,0,1	0,4,6,2	0,3,3,0	3,0,4,2	161	149
87,101,179,107	0,0,3,0	159,181,187,156	2,4,0,3	298	149
346,389,521,417	0,0,0,0	401,452,444,402	0,0,1,0	298	149
205,226,299,242	1,0,1,0	237,303,254,222	1,0,0,3	298	149
30,45,70,68	0,2,1,0	43,52,57,41	1,1,0,1	166	149
36,50,78,75	3,9,4,9	43,60,64,44	2,7,5,11	187	149
6,7,9,7	3,9,4,9	1,9,7,4	2,7,5,11	170	149
155,157,235,187	22,8,35,29	211,224,161,195	29,29,27,30	152	149
102,91,151,116	8,11,12,10	109,116,130,93	5,12,12,8	152	149
81,82,99,70	1,5,8,2	80,79,85,68	4,0,9,5	151	149
3,9,8,12	0,1,0,0	7,12,13,16	0,0,0,0	248	149
61,73,119,98	0,0,5,1	87,123,93,86	1,0,0,0	204	149
3,12,25,14	76,67,115,54	15,17,12,24	56,88,62,68	152	149
