ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
972	12,14,18,6	200,194,285,284	10,14,7,15	167,272,206,196	178	149	0.780982098762183	0.998528120670603
977	3,6,1,0	180,217,310,271	1,3,1,1	281,384,252,233	208	149	0.920000720292338	0.999202115572178
978	0,7,5,3	0,0,1,4	0,2,4,2	0,0,0,0	179	149	0.0475189280427831	0.440435030572613
979	69,59,92,72	3,9,5,11	75,63,75,61	2,4,4,2	153	149	0.083053305957238	0.519850732202447
980	16,13,11,23	18,5,29,19	18,25,30,26	15,12,8,21	298	149	0.0825994977113663	0.519850732202447
981	84,93,149,111	1,2,3,6	118,111,109,108	4,5,5,6	247	149	0.184258609615746	0.612549595364306
982	91,100,137,93	14,18,19,30	117,86,113,78	27,19,4,22	152	149	0.619376856561505	0.905312628353069
983	34,27,58,48	2,1,5,2	45,46,44,35	2,2,3,1	152	149	0.647624312100066	0.91915148235626
984	1,2,1,1	15,20,42,31	3,1,4,5	45,54,59,44	218	149	0.43907887370967	0.798894039627227
985	14,28,56,31	1,0,0,1	69,73,61,47	0,3,2,2	209	149	0.301183003597512	0.731137383682334
986	0,0,0,0	0,0,2,0	3,0,1,0	2,0,0,1	152	149	0.0617301716070136	0.472403062180582
987	0,3,6,3	11,29,25,18	12,3,17,5	27,40,28,24	152	149	0.216031616612185	0.651863722178309
988	1,1,6,3	12,10,21,11	5,5,0,1	17,14,17,10	152	149	0.727099262542855	0.964298957364652
989	10,23,26,13	0,0,6,0	27,39,29,25	1,0,1,0	277	149	0.999202115572178	0.999202115572178
990	431,419,611,595	20,36,30,43	471,573,528,486	25,35,20,22	237	149	0.132243647255802	0.562607627787972
991	1696,1781,2649,2545	3,1,0,1	2022,2831,2552,2059	2,0,1,1	180	149	0.636450904422157	0.910612483680299
992	1789,1970,2948,2909	0,0,0,0	2260,3065,2529,2333	2,0,2,3	157	149	0.000345797472007359	0.0966137500271487
993	9,15,11,13	2,2,4,1	9,9,6,8	4,8,6,6	161	149	0.0022771206690344	0.177874880121586
995	80,63,93,109	1,3,1,0	70,96,84,90	0,0,5,2	162	149	0.999202115572178	0.999202115572178
996	15,5,9,8	89,115,167,132	6,9,16,9	97,125,100,88	168	149	0.378343935581107	0.768669074466119
997	1,2,1,4	0,2,0,0	3,5,0,3	1,0,1,0	298	149	0.737493269957706	0.971644825131242
998	0,0,0,1	2,6,3,6	0,0,1,0	9,2,2,7	298	149	0.999202115572178	0.999202115572178
999	2,9,10,15	1,0,1,0	8,20,6,11	1,0,0,6	179	149	0.999202115572178	0.999202115572178
1000	5,5,9,6	0,0,0,0	14,11,8,14	0,1,0,0	295	149	0.163344075447923	0.588494498862496
1001	22,25,33,46	174,162,268,233	37,32,29,33	216,210,204,166	152	149	0.487659861932434	0.833957264929019
1002	19,13,30,15	1,2,3,1	14,26,25,22	1,3,9,9	173	149	0.0862751277599225	0.525451402628439
1003	0,4,0,0	0,0,0,0	0,1,4,1	0,3,0,1	167	149	0.0190954522412599	0.323537867024138
1005	73,78,139,65	22,51,39,36	137,155,139,128	40,43,38,29	298	149	0.006664001254578	0.244878575377348
1006	30,53,74,69	22,31,39,25	67,77,70,57	35,22,29,22	152	149	0.102381361515313	0.546909297500229
1008	2,2,2,2	2,5,6,4	4,3,1,6	2,5,0,2	152	149	0.0366875357408	0.408235831305487
1009	7840,8061,10974,11341	0,0,16,9	9589,9754,8938,8410	0,6,0,0	298	149	0.126489748664618	0.562607627787972
1010	5,7,9,6	33,18,40,33	5,10,18,4	32,33,33,40	152	149	0.80731560960189	0.999202115572178
1011	0,0,1,0	71,107,119,90	1,4,0,0	108,158,123,88	173	149	0.452976631210503	0.806937096766502
1013	5,9,21,6	1,2,2,6	13,17,14,13	8,4,0,6	161	149	0.834464612711732	0.999202115572178
1014	1,2,1,0	0,0,0,1	4,1,2,3	0,3,0,0	164	149	0.57782374911876	0.886269822144799
1016	0,0,0,1	85,91,154,106	0,0,2,1	146,89,111,122	151	149	0.490490595141324	0.837060224420782
